,0
0,HYOU1
1,EXOC6B
2,AC064875.1
3,SLFN11
4,RGS17
5,CD70
6,YKT6
7,PLD3
8,GRIN2B
9,WDPCP
10,SERTAD2
11,PPP1R15B
12,SCFD2
13,CAMKMT
14,TASP1
15,HSPG2
16,GGCX
17,SMTN
18,LAMA4
19,ZC3H4
20,NOSIP
21,LUZP1
22,SCD
23,CSMD2
24,PDE10A
25,HERPUD1
26,NME1
27,TMEM127
28,RHBDD1
29,ARL4C
30,NDUFA8
31,GPAA1
32,CAMK1D
33,DNMBP
34,ANO10
35,ITGA7
36,SHC3
37,MICU1
38,PARP6
39,TPX2
40,TNKS1BP1
41,PAWR
42,UHRF1
43,CTGF
44,GPRC5B
45,ECH1
46,SLC5A3
47,ARID5B
48,PSME1
49,LRRN3
50,GIT2
51,SAT1
52,FAM212B
53,FLNB
54,SARS
55,PKD1
56,RNF169
57,PHACTR4
58,DIAPH3
59,ELOF1
60,NPC2
61,ZRANB2
62,KCNE4
63,NCOA1
64,WDR59
65,PARP14
66,SETBP1
67,PRSS23
68,PMP2
69,TOM1L2
70,FOSL1
71,NCAPG
72,RIOK3
73,USP13
74,STXBP5L
75,DLEU2
76,NCOA6
77,RAB3B
78,XPOT
79,CARS
80,CYSTM1
81,E2F7
82,PROX1
83,DFFA
84,KDM2B
85,CRTC3
86,BAIAP2-AS1
87,TRPS1
88,PTPRG
89,GLIS3
90,ID3
91,DNAJA3
92,TRAPPC9
93,SLIT1
94,AP001347.1
95,HLTF
96,IER2
97,UBR2
98,ITGAV
99,PDP1
100,ZNF347
101,SLC2A3
102,KCNIP1
103,PCOLCE2
104,KIF2C
105,INSIG1
106,LMNB1
107,PAN3
108,ALPK2
109,SLC25A25
110,CCNB1
111,SPATA5
112,FAM120B
113,GRIK2
114,COL4A1
115,AC011228.1
116,LINC01158
117,FIGN
118,TKT
119,WIZ
120,SRGAP3
121,MIR222HG
122,APBB2
123,WLS
124,PTCHD1-AS
125,ODC1
126,AC079781.5
127,SNTG1
128,ABTB2
129,NCKAP5L
130,ANKS1A
131,GABBR2
132,FRMD4A
133,ARHGAP26
134,KRR1
135,EPB41L2
136,KCNIP4
137,TPP2
138,FAM3C
139,BRIP1
140,INTS11
141,MBD5
142,BAZ2B
143,RRBP1
144,CHD2
145,PCCA
146,PLCE1
147,ZFP90
148,SYN3
149,DNER
150,ABHD17A
151,PARD3B
152,DCLK2
153,TUBG2
154,ZNF704
155,NUDCD1
156,BORCS5
157,HIPK3
158,ITGA6
159,XPR1
160,GFAP
161,KIF4A
162,PRKCE
163,CMIP
164,MKI67
165,RNF168
166,ELMOD1
167,FANCI
168,NR4A1
169,PACS2
170,SPTLC2
171,SMG6
172,APOLD1
173,C10orf90
174,MYBL2
175,POU3F2
176,CBFA2T2
177,FOXM1
178,AHNAK2
179,HECTD4
180,KANK1
181,PPP6C
182,TIMM13
183,GPHN
184,SPIDR
185,NLGN4X
186,RBL1
187,HMGA2
188,TUBB4B
189,TP53
190,NCOA3
191,UFD1
192,HSPA5
193,FNBP4
194,RNH1
195,TSHZ2
196,LRP1B
197,ERRFI1
198,CRB2
199,BICD2
200,ARAP3
201,SLC4A7
202,EIF2B2
203,DNAJB1
204,MALAT1
205,EML6
206,THBS1
207,ADAM19
208,KIF1A
209,ITPKB
210,ARIH1
211,CHD7
212,NIPAL3
213,LIPA
214,KLHDC8A
215,ZFHX4
216,TRIB3
217,SLC30A9
218,CIT
219,DNAAF5
220,RANBP10
221,ARSJ
222,KDELC2
223,PCDHGC3
224,SVIL
225,FAM126A
226,CUEDC1
227,EIF2AK3
228,MAN1A1
229,GLI3
230,CBLB
231,TRAPPC10
232,PLD5
233,CEP70
234,SATB2
235,STYXL1
236,LHFPL6
237,DCLK1
238,CNN2
239,SOX9
240,TMEM189
241,SLC38A1
242,NLRP1
243,RAN
244,TTC28
