,0
0,RMST
1,SLC6A8
2,PRUNE2
3,KDM4A
4,PRAG1
5,LINC00461
6,BCAN
7,FN1
8,NCOA1
9,FTH1
10,CLU
11,LRIG1
12,SLC3A2
13,ADGRV1
14,MIR99AHG
15,LSAMP
16,LYST
17,KANSL1L
18,SPARCL1
19,MIR100HG
20,P2RX7
21,ABCA1
22,NEAT1
23,NTRK2
24,TOX3
25,CBFA2T2
26,ZFP36L2
27,MEGF8
28,LINC-PINT
29,ADGRG1
30,MIAT
31,GLIS3
32,IL1RAPL1
33,FTX
34,FHIT
35,MALAT1
36,EGFR
37,DPYD
38,BCAS3
39,PDZRN3
40,CAPG
41,OPHN1
42,SQSTM1
43,NQO1
44,NKAIN3
45,CSPG5
46,KIF1A
47,CHD2
48,KCNN3
49,RFX4
50,JAG1
51,AHCYL2
52,ZBTB20
53,TXNIP
54,ZC3H12C
55,ARHGAP5
56,EPHB1
57,ATXN7L1
58,DDIT3
59,DDIT4
60,LDLRAD3
61,UBE2H
62,GARS
63,FOXN3
64,LIFR
65,ABR
66,LINC01158
67,TMTC2
68,GLCCI1
69,USP54
70,PTCHD1-AS
71,FTL
72,VAT1
73,TXNRD1
74,TPP1
75,MTSS1L
76,AHNAK
77,LRP1
78,BAZ2B
79,MAPT
80,NCKAP5
81,SLC7A11
82,BACH2
83,CELSR2
84,RFX3
85,UTRN
86,SDCBP
87,NEDD4L
88,AC234582.1
89,GCLM
