,0
0,PLD1
1,SPATA5
2,INF2
3,NOSIP
4,TMEFF2
5,EXT1
6,TLN2
7,RHBDF1
8,MKNK2
9,PCYT2
10,ATP6V0D1
11,CBR4
12,GPAA1
13,PNPLA2
14,SLC5A3
15,SERINC5
16,FOXP1
17,ZNF598
18,KLHL20
19,C11orf24
20,ATP5C1
21,OSBPL8
22,FN1
23,ADAMTSL4-AS1
24,SYT1
25,UBE2E2
26,PPAT
27,AHNAK2
28,SEPT10
29,CCNC
30,ADGRL1
31,NPTN
32,FTH1
33,EXOC6B
34,ITGA3
35,CLU
36,SACS
37,GINM1
38,RAD51B
39,NOL4
40,ECHS1
41,BIN3
42,COG5
43,ELK3
44,PRKCA
45,PPM1L
46,SOX11
47,CSRNP3
48,SYNJ1
49,PANK3
50,ARHGAP26
51,PGM2L1
52,ADGRV1
53,THBS1
54,BBS9
55,JARID2
56,RPS16
57,PHC2
58,TNIK
59,PPP1R12A
60,LYST
61,TMEM135
62,TOM1L2
63,PPP2R2A
64,SYVN1
65,GTDC1
66,AC008014.1
67,MBD5
68,DGKI
69,SBF2
70,GPR155
71,DLEU1
72,LRBA
73,ATP2C1
74,VGF
75,PCDH17
76,PIP5K1C
77,TNFRSF10B
78,UBLCP1
79,MAX
80,UFD1
81,VPS13D
82,CYFIP2
83,ITIH5
84,ALS2
85,NEAT1
86,MICU1
87,CASC4
88,YKT6
89,RNF126
90,FAM69A
91,GIPC1
92,CCDC82
93,CEP85L
94,CYTH3
95,RALGAPA2
96,NR4A1
97,PPARA
98,TMEM189
99,MEGF8
100,DSEL
101,TAOK3
102,EMC3
103,GNG7
104,ALOX12-AS1
105,SCFD2
106,SELENOT
107,FGF12
108,ITPR1
109,GAK
110,MCAM
111,RPL26
112,AKAP12
113,NAXE
114,DFFA
115,DPM1
116,JUNB
117,ZMAT3
118,SUGT1
119,PIGN
120,KIFAP3
121,CAPS2
122,SREBF1
123,UBL7
124,PALLD
125,PIK3R3
126,TCF7L1
127,C12orf75
128,FAM199X
129,NCAN
130,ALCAM
131,PDP1
132,INTS11
133,CEP83
134,RABGAP1L
135,SLC9A3R1
136,SNX25
137,MALAT1
138,TMEM260
139,SLC30A9
140,TGFB1
141,HOMER1
142,PLEKHH2
143,DPYD
144,BCAS3
145,CFAP44
146,HPCAL1
